Zip Code,City,County
20601,Waldorf,Charles County
20602,Waldorf,Charles County
20603,Waldorf,Charles County
20604,Waldorf,Charles County
20606,Abell,Saint Mary's County
20607,Accokeek,Prince George's County
20608,Aquasco,Prince George's County
20609,Avenue,Saint Mary's County
20610,Barstow,Calvert County
20611,Bel Alton,Charles County
20612,Benedict,Charles County
20613,Brandywine,Prince George's County
20615,Broomes Island,Calvert County
20616,Bryans Road,Charles County
20617,Bryantown,Charles County
20618,Bushwood,Saint Mary's County
20619,California,Saint Mary's County
20620,Callaway,Saint Mary's County
20621,Chaptico,Saint Mary's County
20622,Charlotte Hall,Saint Mary's County
20623,Cheltenham,Prince George's County
20624,Clements,Saint Mary's County
20625,Cobb Island,Charles County
20626,Coltons Point,Saint Mary's County
20627,Compton,Saint Mary's County
20628,Dameron,Saint Mary's County
20629,Dowell,Calvert County
20630,Drayden,Saint Mary's County
20632,Faulkner,Charles County
20634,Great Mills,Saint Mary's County
20635,Helen,Saint Mary's County
20636,Hollywood,Saint Mary's County
20637,Hughesville,Charles County
20639,Huntingtown,Calvert County
20640,Indian Head,Charles County
20643,Ironsides,Charles County
20645,Issue,Charles County
20646,La Plata,Charles County
20650,Leonardtown,Saint Mary's County
20653,Lexington Park,Saint Mary's County
20656,Loveville,Saint Mary's County
20657,Lusby,Calvert County
20658,Marbury,Charles County
20659,Mechanicsville,Saint Mary's County
20660,Morganza,Saint Mary's County
20661,Mount Victoria,Charles County
20662,Nanjemoy,Charles County
20664,Newburg,Charles County
20667,Park Hall,Saint Mary's County
20670,Patuxent River,Saint Mary's County
20674,Piney Point,Saint Mary's County
20675,Pomfret,Charles County
20676,Port Republic,Calvert County
20677,Port Tobacco,Charles County
20678,Prince Frederick,Calvert County
20680,Ridge,Saint Mary's County
20682,Rock Point,Charles County
20684,Saint Inigoes,Saint Mary's County
20685,Saint Leonard,Calvert County
20686,Saint Marys City,Saint Mary's County
20687,Scotland,Saint Mary's County
20688,Solomons,Calvert County
20689,Sunderland,Calvert County
20690,Tall Timbers,Saint Mary's County
20692,Valley Lee,Saint Mary's County
20693,Welcome,Charles County
20695,White Plains,Charles County
20697,Southern Md Facility,Prince George's County
20701,Annapolis Junction,Howard County
20703,Lanham,Prince George's County
20704,Beltsville,Prince George's County
20705,Beltsville,Prince George's County
20706,Lanham,Prince George's County
20707,Laurel,Prince George's County
20708,Laurel,Prince George's County
20709,Laurel,Prince George's County
20710,Bladensburg,Prince George's County
20711,Lothian,Anne Arundel County
20712,Mount Rainier,Prince George's County
20714,North Beach,Calvert County
20715,Bowie,Prince George's County
20716,Bowie,Prince George's County
20717,Bowie,Prince George's County
20718,Bowie,Prince George's County
20719,Bowie,Prince George's County
20720,Bowie,Prince George's County
20721,Bowie,Prince George's County
20722,Brentwood,Prince George's County
20723,Laurel,Howard County
20724,Laurel,Anne Arundel County
20725,Laurel,Prince George's County
20726,Laurel,Prince George's County
20731,Capitol Heights,Prince George's County
20732,Chesapeake Beach,Calvert County
20733,Churchton,Anne Arundel County
20735,Clinton,Prince George's County
20736,Owings,Calvert County
20737,Riverdale,Prince George's County
20738,Riverdale,Prince George's County
20740,College Park,Prince George's County
20741,College Park,Prince George's County
20742,College Park,Prince George's County
20743,Capitol Heights,Prince George's County
20744,Fort Washington,Prince George's County
20745,Oxon Hill,Prince George's County
20746,Suitland,Prince George's County
20747,District Heights,Prince George's County
20748,Temple Hills,Prince George's County
20749,Fort Washington,Prince George's County
20750,Oxon Hill,Prince George's County
20751,Deale,Anne Arundel County
20752,Suitland,Prince George's County
20753,District Heights,Prince George's County
20754,Dunkirk,Calvert County
20755,Fort George G Meade,Anne Arundel County
20757,Temple Hills,Prince George's County
20758,Friendship,Anne Arundel County
20759,Fulton,Howard County
20762,Andrews Air Force Base,Prince George's County
20763,Savage,Howard County
20764,Shady Side,Anne Arundel County
20765,Galesville,Anne Arundel County
20768,Greenbelt,Prince George's County
20769,Glenn Dale,Prince George's County
20770,Greenbelt,Prince George's County
20771,Greenbelt,Prince George's County
20772,Upper Marlboro,Prince George's County
20773,Upper Marlboro,Prince George's County
20774,Upper Marlboro,Prince George's County
20775,Upper Marlboro,Prince George's County
20776,Harwood,Anne Arundel County
20777,Highland,Howard County
20778,West River,Anne Arundel County
20779,Tracys Landing,Anne Arundel County
20781,Hyattsville,Prince George's County
20782,Hyattsville,Prince George's County
20783,Hyattsville,Prince George's County
20784,Hyattsville,Prince George's County
20785,Hyattsville,Prince George's County
20787,Hyattsville,Prince George's County
20788,Hyattsville,Prince George's County
20790,Capitol Heights,Prince George's County
20791,Capitol Heights,Prince George's County
20792,Upper Marlboro,Prince George's County
20794,Jessup,Howard County
20797,Southern Md Facility,Prince George's County
20799,Capitol Heights,Prince George's County
20810,Bethesda,Montgomery County
20811,Bethesda,Montgomery County
20812,Glen Echo,Montgomery County
20813,Bethesda,Montgomery County
20814,Bethesda,Montgomery County
20815,Chevy Chase,Montgomery County
20816,Bethesda,Montgomery County
20817,Bethesda,Montgomery County
